bookID title authors average_rating isbn isbn13 language_code  num_pages ratings_count text_reviews_count publication_date publisher
31851,An Introduction to Political Philosophy,Jonathan Wolff,4.11,019929609X,9780199296095,eng,215,767,44,3/1/2006,Oxford University Press  USA
31894,Ancient Philosophy,Anthony Kenny,3.98,0198752725,9780198752721,eng,341,260,20,11/30/2006,Oxford University Press  USA
31911,Contemporary Political Philosophy,Will Kymlicka,4.00,0198782748,9780198782742,eng,512,594,17,10/25/2001,Oxford University Press  USA
31917,The Oxford Handbook of Philosophy of Mathematics and Logic,Stewart Shapiro,4.25,0195325923,9780195325928,eng,832,19,1,3/1/2007,Oxford University Press  USA
31929,The Philosophy of Biology,David L. Hull/Michael Ruse,3.89,0198752121,9780198752127,eng,784,14,3,8/27/1998,Oxford University Press  USA
32080,Paul Revere's Ride,David Hackett Fischer,4.12,0195098315,9780195098310,eng,464,3907,208,4/19/1995,Oxford University Press  USA
32082,The Great Wave: Price Revolutions and the Rhythm of History,David Hackett Fischer,3.97,019512121X,9780195121216,eng,552,204,33,11/11/1999,Oxford University Press  USA
32083,Growing Old in America: The Bland-Lee Lectures Delivered at Clark University,David Hackett Fischer,4.06,0195023668,9780195023664,eng,252,17,1,4/1/1978,Oxford University Press  USA
34069,Much Ado about Nothing,William Shakespeare/Roma Gill,4.07,0198321473,9780198321477,eng,160,37,5,12/2/2004,Oxford University Press  USA
35100,Battle Cry of Freedom,James M. McPherson,4.35,019516895X,9780195168952,eng,867,23112,992,12/11/2003,Oxford University Press  USA
36438,Manic-Depressive Illness: Bipolar Disorders and Recurrent Depression,Frederick K. Goodwin/Kay Redfield Jamison,4.40,0195135792,9780195135794,en-GB,1262,107,3,3/1/2007,Oxford University Press  USA
36489,Justice Oliver Wendell Holmes: Law and the Inner Self,G. Edward White,3.67,0195101286,9780195101287,eng,648,17,2,12/19/1995,Oxford University Press  USA
36706,The Oxford Dictionary of Quotations,Elizabeth Knowles,4.20,0198601735,9780198601739,en-US,1536,37,2,11/25/1999,Oxford University Press  USA
37539,Egyptian Myth: A Very Short Introduction,Geraldine Pinch,3.61,0192803468,9780192803467,eng,143,189,18,7/8/2004,Oxford University Press  USA
39001,Power  Sex  Suicide: Mitochondria and the Meaning of Life,Nick Lane,4.24,0199205647,9780199205646,eng,354,2221,151,12/1/2006,Oxford University Press  USA
40023,The Hound of the Baskervilles,Patrick Nobes/Arthur Conan Doyle/Jennifer Bassett/Tricia Hedge,3.91,019423035X,9780194230353,eng,105,136,11,9/12/2000,Oxford University Press  USA
41863,The Origins of Life: From the Birth of Life to the Origin of Language,John Maynard Smith/Eörs Szathmáry,4.13,019286209X,9780192862099,eng,192,43,3,11/26/2000,Oxford University Press  USA
43037,The Call of the Wild  White Fang and Other Stories,Jack London,3.99,0192835149,9780192835147,eng,400,18720,192,8/20/1998,Oxford University Press  USA
43177,Brown V. Board of Education: A Civil Rights Milestone and Its Troubled Legacy,James T. Patterson,3.85,0195156323,9780195156324,eng,320,159,24,12/12/2002,Oxford University Press  USA
43228,The Meaning of Life,Terry Eagleton,3.50,0199210705,9780199210701,en-GB,187,755,94,5/1/2007,Oxford University Press  USA
44034,Masters of Small Worlds: Yeoman Households  Gender Relations  and the Political Culture of the Antebellum South Carolina Low Country,Stephanie McCurry,3.69,0195117956,9780195117950,eng,344,98,6,11/1/1997,Oxford University Press  USA
45206,Miss or Mrs?/ The Haunted Hotel/ The Guilty River,Wilkie Collins/Norman Page/Toru Sasaki,3.79,0192833073,9780192833075,eng,360,175,14,5/13/1999,Oxford University Press  USA
